Dust emission from Draine & Li (2007): ApJ 657, 810-837
==========================================================
         1 = grain model
 4.000E-08 4.000E-01 0.000E+00 = a_01 (cm) , sigma_1 , b_C1/0.92
 2.000E-07 5.500E-01 0.000E+00 = a_02 (cm) , sigma_2 , b_C2/0.92
 1.000E+01 1.000E+06 2.000E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 1.151E+02 = <U> 
     mmp83 = radfield
 5.137E-22 = power/H (erg s-1)
 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
2.630E+02  4.322E-24  3.015E-14
2.606E+02  4.489E-24  3.103E-14
2.582E+02  4.661E-24  3.193E-14
2.559E+02  4.839E-24  3.284E-14
2.535E+02  5.024E-24  3.378E-14
2.512E+02  5.214E-24  3.474E-14
2.489E+02  5.408E-24  3.570E-14
2.466E+02  5.606E-24  3.667E-14
2.443E+02  5.810E-24  3.766E-14
2.421E+02  6.020E-24  3.866E-14
2.399E+02  6.235E-24  3.967E-14
2.377E+02  6.455E-24  4.070E-14
2.355E+02  6.682E-24  4.174E-14
2.333E+02  6.916E-24  4.281E-14
2.312E+02  7.157E-24  4.390E-14
2.291E+02  7.407E-24  4.501E-14
2.270E+02  7.664E-24  4.614E-14
2.249E+02  7.929E-24  4.730E-14
2.228E+02  8.202E-24  4.849E-14
2.208E+02  8.485E-24  4.969E-14
2.188E+02  8.776E-24  5.093E-14
2.168E+02  9.076E-24  5.218E-14
2.148E+02  9.385E-24  5.347E-14
2.128E+02  9.703E-24  5.477E-14
2.109E+02  1.003E-23  5.611E-14
2.089E+02  1.037E-23  5.747E-14
2.070E+02  1.072E-23  5.885E-14
2.051E+02  1.108E-23  6.026E-14
2.032E+02  1.145E-23  6.170E-14
2.014E+02  1.183E-23  6.317E-14
1.995E+02  1.222E-23  6.466E-14
1.977E+02  1.262E-23  6.618E-14
1.959E+02  1.304E-23  6.773E-14
1.941E+02  1.346E-23  6.931E-14
1.923E+02  1.390E-23  7.091E-14
1.905E+02  1.435E-23  7.255E-14
1.888E+02  1.482E-23  7.421E-14
1.871E+02  1.530E-23  7.590E-14
1.854E+02  1.579E-23  7.763E-14
1.837E+02  1.629E-23  7.938E-14
